codigo,descripcion,proveedor,kg,ean,categoria,tipo,arriba,abajo,precio
4215075,Club Performance Dog Junior,royal,7.5,7790187003873,Club Performance  PERRO,perro,0,0,0
4215150,Club Performance Dog Junior,royal,15,7790187003880,Club Performance  PERRO,perro,0,0,0
4217150,Club Performance Weight Control,royal,15,7790187003934,Club Performance  PERRO,perro,0,0,0
4272015,Club Performance Cat  ,royal,1.5,7790187003927,Club Performance  GATO,gato,0,0,0
4272075,Club Performance Cat  ,royal,7.5,7790187003897,Club Performance  GATO,gato,0,0,0
4274015,Club Performance Cat Kitten,royal,1.5,7790187003910,Club Performance  GATO,gato,0,0,0
4274075,Club Performance Cat Kitten,royal,7.5,7790187003903,Club Performance  GATO,gato,0,0,0
12232678, PRO PLAN PUPPY LARGE BREED ,pro-plan,15,,,perro,0,0,0
12232692, PRO-PLAN  PUPPY COMPLETE ,pro-plan,7.5,,,perro,0,0,0
12232694, PRO-PLAN  PUPPY COMPLETE ,pro-plan,15,,,perro,0,0,0
12232717,PRO PLAN EXIGENT DOG (SMALL BREED),pro-plan,7.5,,,perro,0,0,0
12274092, HA () HIPOALERGÉNICO ,pro-plan,3.5,,,gato,0,0,0
12274225, HA (HYPOALLERGENIC) HIPOALERGÉNICO ,pro-plan,11,,,perro,0,0,0
12274252, HA (HYPOALLERGENIC) HIPOALERGÉNICO ,pro-plan,3,,,perro,0,0,0
12274531, HA () HIPOALERGÉNICO ,pro-plan,1.3,,,gato,0,0,0
12285348, PRO PLAN PUPPY SMALL BREED ,pro-plan,7.5,,,perro,0,0,0
12286473,EXCELLENT ADULT DOG MEDIUM & LARGE ,pro-plan,3,,,perro,0,1,0
12286474,EXCELLENT ADULT DOG MEDIUM & LARGE ,pro-plan,15,,,perro,0,0,0
12286475,EXCELLENT ADULT DOG MEDIUM & LARGE ,pro-plan,20,,,perro,0,0,0
12286476,EXCELLENT ADULT DOG SMALL BREED ,pro-plan,1,,,perro,0,2,0
12286477,EXCELLENT ADULT DOG SMALL BREED ,pro-plan,3,,,perro,0,1,0
12286478,EXCELLENT FORMULA PUPPY ,pro-plan,15,,,perro,0,0,0
12286479,EXCELLENT FORMULA PUPPY ,pro-plan,20,,,perro,0,0,0
12286483,EXCELLENT ADULT CAT Chicken & Rice,pro-plan,1,,,gato,1,4,0
12286484,EXCELLENT ADULT CAT Chicken & Rice,pro-plan,3,,,gato,0,0,0
12286500,EXCELLENT KITTEN Chicken & Rice,pro-plan,7.5,,,gato,0,0,0
12286501,EXCELLENT URINARY CAT CH&R,pro-plan,7.5,,,gato,0,0,0
12286503,EXCELLENT KITTEN Chicken & Rice,pro-plan,1,,,gato,3,8,0
12286504,EXCELLENT ADULT DOG SMALL BREED ,pro-plan,15,,,perro,0,0,0
